,assists_round,deaths_round,dmg_round,gnd_dmg_round,hs_percentage,impact,kast,kd_ratio,kills_round,maps_played,player_age,player_country,player_id,player_link,player_nick,rating_1,rounds_played,save_team_round,saved_by_round,total_deaths,total_kills
231,0.12,0.75,48.2,1.3,62.5%,0.55,55.8%,0.62,0.46,2,24,Poland,15430,https://www.hltv.org/stats/players/15430/deoz,deoz,0.65,52,0.12,0.08,39,24
232,0.12,0.72,70.6,3.6,51.1%,0.94,65.7%,0.87,0.63,50,20,Czech Republic,16434,https://www.hltv.org/stats/players/16434/hones,HONES,0.94,1316,0.10,0.11,951,827
233,0.13,0.70,75.0,4.1,48.2%,1.06,70.6%,1.00,0.70,64,22,Macedonia,18594,https://www.hltv.org/stats/players/18594/feedalee,Feedalee,1.06,1664,0.14,0.12,1158,1163
234,0.12,0.82,93.0,4.5,64.3%,1.18,60.0%,0.85,0.70,2,-,Peru,18574,https://www.hltv.org/stats/players/18574/nostalg1c,Nostalg1c,1.03,40,0.10,0.10,33,28
235,0.16,0.68,83.3,2.3,52.5%,1.07,74.9%,1.09,0.74,7,22,Canada,18819,https://www.hltv.org/stats/players/18819/kxn,kXn,1.14,187,0.10,0.11,128,139
236,0.09,0.71,70.4,3.6,49.4%,0.83,66.7%,0.87,0.62,11,20,Russia,18716,https://www.hltv.org/stats/players/18716/lostdf,LostDF,0.91,270,0.09,0.09,193,168
237,0.05,0.67,70.3,1.4,35.1%,1.11,70.3%,1.08,0.72,12,17,Brazil,20029,https://www.hltv.org/stats/players/20029/card,card,1.08,316,0.12,0.08,212,228
238,0.12,0.71,75.3,3.5,59.0%,1.10,67.7%,0.97,0.69,76,17,Canada,19704,https://www.hltv.org/stats/players/19704/mada,mada,1.04,1968,0.10,0.11,1403,1367
239,0.16,0.71,83.6,5.1,44.8%,1.26,68.9%,1.05,0.74,140,29,Chile,10800,https://www.hltv.org/stats/players/10800/firemannn,FiReMaNNN,1.12,3703,0.10,0.10,2637,2757
240,0.17,0.66,79.1,4.0,36.8%,1.13,72.4%,1.10,0.73,149,27,Belgium,8973,https://www.hltv.org/stats/players/8973/kllyve,KllyVe,1.07,3828,0.10,0.10,2538,2804
241,0.12,0.73,-,-,34.4%,-,-,0.86,0.62,12,-,Germany,7501,https://www.hltv.org/stats/players/7501/frozenkoki,FROZENkoki,0.89,299,-,-,217,186
242,0.10,0.66,69.7,1.9,41.0%,0.99,70.5%,1.01,0.66,14,20,Portugal,16101,https://www.hltv.org/stats/players/16101/krush,Krush,1.03,393,0.12,0.11,259,261
243,0.06,0.89,-,-,52.6%,-,-,0.61,0.54,2,-,Sweden,8335,https://www.hltv.org/stats/players/8335/quikz,Quikz,0.63,35,-,-,31,19
244,0.17,0.77,66.0,2.9,38.9%,0.73,66.2%,0.70,0.54,24,-,Spain,1982,https://www.hltv.org/stats/players/1982/aidy,Aidy,0.75,577,0.11,0.13,446,311
245,0.14,0.70,60.5,4.2,42.9%,0.67,62.8%,0.84,0.59,23,25,Tunisia,9394,https://www.hltv.org/stats/players/9394/attiaz,Attiaz,0.88,597,0.07,0.10,419,352
246,0.12,0.86,47.7,1.0,37.5%,0.29,51.0%,0.38,0.33,2,-,United States,15000,https://www.hltv.org/stats/players/15000/z3n0b,z3n0b,0.48,49,0.00,0.14,42,16
247,0.08,0.53,41.4,2.6,27.3%,0.49,65.9%,0.70,0.38,3,32,Venezuela,16111,https://www.hltv.org/stats/players/16111/dazu,Dazu,0.77,88,0.03,0.06,47,33
248,0.13,0.69,64.2,2.2,48.5%,0.78,66.7%,0.84,0.58,7,-,Italy,17148,https://www.hltv.org/stats/players/17148/codyxer,codyxer,0.90,177,0.07,0.11,122,103
249,0.13,0.68,68.2,2.7,50.8%,0.96,71.1%,0.96,0.65,7,-,United States,19852,https://www.hltv.org/stats/players/19852/silenx,silenx,1.00,194,0.14,0.13,131,126
250,0.14,0.86,49.1,0.6,50.0%,0.47,39.5%,0.38,0.33,2,-,United States,19081,https://www.hltv.org/stats/players/19081/romanb,RomanB,0.47,43,0.05,0.05,37,14
251,0.13,0.72,70.8,2.9,50.5%,1.02,65.9%,0.85,0.61,13,26,France,15577,https://www.hltv.org/stats/players/15577/okayyy,OKAYYY,0.96,343,0.08,0.13,246,210
252,0.12,0.65,84.7,5.0,46.4%,1.23,74.7%,1.29,0.84,12,23,United States,16063,https://www.hltv.org/stats/players/16063/zequate,Zequate,1.22,297,0.12,0.10,194,250
253,0.11,0.71,64.5,2.6,46.8%,0.81,67.2%,0.84,0.59,9,16,Russia,20994,https://www.hltv.org/stats/players/20994/fl4mus,FL4MUS,0.89,235,0.14,0.08,166,139
254,0.05,0.73,41.0,1.5,41.7%,0.38,54.7%,0.48,0.35,5,34,Iceland,13169,https://www.hltv.org/stats/players/13169/aronolafs,AronOlafs,0.57,139,0.04,0.08,101,48
